ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
161.531,-0.353684,171.74,207.037,0.817607,281.725,29.4652,359.187,2.89816,1.24213,804.73,0.154755,0.339806,0.15237,0.505946,122.098,0.941699
132.572,-1.7804,404.398,200.082,1.17823,356.31,19.2437,85.8958,0.610182,2.97165,223.595,0.00902514,0.0895234,0,0.704708,23.5823,0.0341432
208.179,-2.40497,1162.51,150.525,-0.0906719,152.213,18.0034,150.926,1.15126,2.37465,1734.74,0,0.126799,0.203918,0.436122,151.965,1.98832
140.29,-0.821305,190.327,147.919,0.67697,183.735,14.9316,291.568,2.69903,1.84565,302.798,0.336789,0.343722,0.385731,0.611187,146.755,1.14644
201.32,-1.20838,367.08,203.887,-0.296292,213.381,14.2844,136.268,1.06234,0.935188,549.866,0.108777,0.354595,0.213642,0.522678,154.668,2.45366
209.248,-0.758639,272.406,273.13,0.996641,422.347,40.6532,139.949,0.661401,1.76438,233.658,0.279396,0.547149,0.371172,0.554064,170.35,1.82045
293.175,-0.708972,369.994,356.722,0.481885,399.754,25.382,1087.79,2.65996,1.34476,867.193,0.478931,0.592247,0.370705,0.581454,403.488,2.87313
353.734,0.264443,366.174,439.745,-0.391108,474.481,25.2466,340.918,3.07666,3.13983,156.396,0.497334,0.57607,0.0994452,0.221182,159.344,1.18201
166.269,-0.711614,210.175,153.769,-1.8309,492.657,24.5773,60.3952,0.617507,3.07426,762.846,0,0.0602853,0.148489,0.65368,137.595,1.89581
139.14,-0.112984,140.029,121.431,0.115064,123.644,18.6124,192.037,0.757133,2.13383,612.961,0.331798,0.489163,0.494725,0.750804,179.23,2.68457
240.316,-1.98828,893.966,196.453,0.61207,235.184,19.0026,351.604,1.95612,3.1913,528.068,0.492798,0.576568,0.355607,0.412401,625.906,2.04357
237.403,2.01165,903.248,122.321,0.930604,179.521,10.3661,69.5902,2.56899,3.25445,454.633,0.152295,0.307094,0,0.595448,719.499,2.90327
261.674,1.17604,464.472,217.651,1.57101,547.385,35.493,331.218,1.99376,2.52315,3286.26,0.524513,0.738416,0.338551,0.392468,339.292,2.26711
140.135,-0.333305,147.991,117.216,0.819306,159.329,12.8838,107.271,1.43242,3.25207,475.282,0.0208596,0.264852,0,0.468891,189.789,2.66394
213.563,-1.36234,444.361,217.174,-0.762746,284.812,27.609,92.7296,0.861213,0.608341,758.94,0,0.415568,0.276246,0.338258,184.336,2.39207
139.415,-0.135668,140.7,172.555,0.130763,174.855,16.9365,232.975,1.67494,3.08793,206.009,0.179549,0.386047,0,0.47941,114.247,1.45658
136.852,-2.15972,601.061,223.28,-0.181058,228.78,28.8798,335.635,2.78072,3.62399,2179.85,0.256768,0.393948,0.205921,0.434209,187.871,2.09559
237.723,-0.709882,300.18,425.707,-1.13562,731.266,19.476,313.753,2.07507,3.16874,1728.44,0.359142,0.488581,0.16784,0.184059,130.641,1.11579
273.627,0.550039,316.073,167.39,0.326908,177.782,22.0084,116.808,0.659989,0.233257,828.532,0.033279,0.417017,0.342864,0.376174,138.595,1.24996
416.578,0.425379,454.84,583.657,-0.312084,623.455,117.348,684.738,2.81503,0.826224,482.967,0.0551327,0.071982,0.415117,0.466698,635.346,2.50589
282.481,-0.923465,411.735,319.445,0.297554,335.425,34.0647,356.275,0.975164,2.93361,495.339,0.188606,0.466461,0.268371,0.466068,134.586,1.36142
149.12,-0.0523359,149.324,152.964,-1.72329,442.386,13.6716,437.391,3.69149,3.27086,1887.35,0.257803,0.418087,0.408621,0.444107,154.843,0.907224
