ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
124.032,-1.44093,276.674,289.148,-1.21173,529.597,30.7928,301.094,2.27332,0.597445,1346.93,0.340125,0.467357,0.129106,0.739578,101.629,1.29486
116.451,-0.019757,116.474,144.156,-0.705888,182.02,12.5535,144.751,0.884509,2.80609,86.9103,0.352425,0.35403,0.508304,0.537062,110.536,2.14073
140.132,0.16838,142.123,468.578,1.69385,1318.68,51.175,2464.98,3.11992,2.20161,424.473,0.334334,0.57209,0.644635,0.656565,300.891,2.47359
123.038,-1.59358,315.258,557.514,0.844073,770.468,59.1871,776.477,3.1317,2.497,1485.64,0.286673,0.352378,0.578726,0.623855,59.4113,0.903379
286.557,-0.380264,307.526,296.017,-0.0896476,301.856,52.774,279.607,1.41403,0.294788,672.099,0.309113,0.598831,0.273809,0.703312,126.571,1.16218
121.066,-0.625347,145.52,159.082,-0.718625,202.663,16.898,115.125,1.04324,2.98423,922.709,0.211642,0.298558,0.258053,0.29976,136.714,2.01749
148.111,0.726507,188.948,233.997,1.27582,452.157,20.0692,439.806,0.821698,1.45424,728.109,0.255962,0.308902,0.146127,0.531635,139.762,2.94674
151.164,0.379671,162.191,227.161,-0.400447,247.061,26.6526,249.975,1.95996,2.89872,73.0615,0,0.208613,0.555163,0.607603,305.459,3.20873
169.64,1.09339,281.555,320.714,0.18355,330.152,51.3618,413.217,3.47961,3.08025,165.334,0.0959944,0.264191,0.0726338,0.0852181,331.471,3.45742
166.941,-0.255508,172.42,209.472,-0.829528,286.237,16.3245,270.937,1.93451,0.708121,608.424,0.44029,0.66345,0.23878,0.5443,264.585,2.12572
348.749,1.90672,1199.62,317.713,0.119686,327.688,70.6037,296.051,1.02187,3.57183,182.837,0.241993,0.630027,0.405998,0.796778,148.395,0.829228
118.995,-0.954175,177.402,357.392,-0.742288,467.738,82.2054,408.16,0.902383,2.545,512.367,0.351469,0.362494,0.231282,0.454439,123.936,1.30084
176.694,-1.0119,275.143,442.983,-1.74143,1304.13,64.3176,439.791,2.03988,2.79159,1819.71,0.200241,0.326181,0.274485,0.388821,163.998,1.09733
161.35,-0.518871,183.561,310.633,0.79629,416.376,40.2044,278.873,0.900768,3.33561,373.413,0.020985,0.215027,0.153228,0.422438,226.047,2.44447
151.265,0.656842,185.087,282.329,0.202986,289.801,30.7431,560.092,1.36903,1.05377,572.368,0.152213,0.214644,0,0.468434,149.886,0.85247
251.746,-0.504263,284.438,241.989,-1.13336,415.431,23.3916,180.784,1.88608,2.98504,693.722,0.218409,0.389485,0,0.31759,89.9793,1.04913
